18,672303779,332257351
20,921125,277745
22,21180,10775
24,5521282,165334
25,29762730,11717230
26,3054664,1223716
29,682212,14052991
32,59759055,45843709
33,24253828,3501673
34,226221,112363
35,587942018,232373332
36,120931535,134313818
37,847613,220107
38,304539,270958
40,161339,98763
44,199207,81118
45,324889,186711
48,792721,48185
49,9052,16610
50,411370,20473
